variant,question,expected_no_answer,question_type,difficulty,knowledge_scope,crag_action,hit,mrr,recall,precision,correctness,faithfulness,relevance,fallback_appropriate,hallucination,issue_type,summary
"BASELINE_B","北航2019年博士研究生招生中，全日制与非全日制计划人数分别是多少？",false,"procedure","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","检索失败导致错误拒答"
"SYSTEM","北航2019年博士研究生招生中，全日制与非全日制计划人数分别是多少？",false,"procedure","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到招生计划数据"
"BASELINE_A","北航在研究生国际交流方面提供了哪些经费支持项目？请列举至少三项。",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,4,false,true,"generation","回答编造项目，未依据标准答案"
"BASELINE_B","北航在研究生国际交流方面提供了哪些经费支持项目？请列举至少三项。",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,3,false,true,"generation","回答完全虚构，证据中无任何相关内容"
"SYSTEM","北航在研究生国际交流方面提供了哪些经费支持项目？请列举至少三项。",false,"policy","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何相关经费项目"
"BASELINE_A","北京航空航天大学近年研究生毕业生的一次就业率是多少？",false,"statistic","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"fallback","应答但错误拒答"
"BASELINE_B","北京航空航天大学近年研究生毕业生的一次就业率是多少？",false,"statistic","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到就业率数据"
"SYSTEM","北京航空航天大学近年研究生毕业生的一次就业率是多少？",false,"statistic","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到就业率数据"
"BASELINE_A","报考北航研究生时，考生应如何合理选择学院和专业？",false,"procedure","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","应答错误，未利用标准答案作答"
"BASELINE_B","报考北航研究生时，考生应如何合理选择学院和专业？",false,"procedure","medium","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何有效信息"
"SYSTEM","报考北航研究生时，考生应如何合理选择学院和专业？",false,"procedure","medium","integrated_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,4,4,5,true,true,"generation","回答基本正确但存在细节编造"
"BASELINE_A","考生报名前应通过什么渠道了解北航研究生招生政策和流程？",false,"contact","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,5,4,5,true,false,"none","回答准确且忠于事实，无幻觉"
"BASELINE_B","考生报名前应通过什么渠道了解北航研究生招生政策和流程？",false,"contact","easy","integrated_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关政策渠道信息"
"SYSTEM","考生报名前应通过什么渠道了解北航研究生招生政策和流程？",false,"contact","easy","integrated_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"fallback","应答错误拒答，标准答案明确"
"BASELINE_A","北京航空航天大学国际创新研究院的统一社会信用代码是多少？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答但未检索到关键信息"
"BASELINE_B","北京航空航天大学国际创新研究院的统一社会信用代码是多少？",false,"contact","easy","finance_kb","ANSWER",1.0,0.3333333333333333,1.0,0.2,5,5,5,true,false,"none","回答完全正确且忠于证据"
"SYSTEM","北京航空航天大学国际创新研究院的统一社会信用代码是多少？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","应答错误，实际有标准答案"
"BASELINE_A","给北航国新院开具发票时，应填写的开户银行和银行账号分别是什么？",false,"procedure","medium","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","给北航国新院开具发票时，应填写的开户银行和银行账号分别是什么？",false,"procedure","medium","finance_kb","ANSWER",1.0,0.2,1.0,0.2,5,5,5,true,false,"none","回答完全正确且忠于证据"
"SYSTEM","给北航国新院开具发票时，应填写的开户银行和银行账号分别是什么？",false,"procedure","medium","finance_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全正确且忠于证据"
"BASELINE_A","杭州市北京航空航天大学国际创新研究院的单位地址和联系电话是什么？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","应答但未检索到信息，属检索失败"
"BASELINE_B","杭州市北京航空航天大学国际创新研究院的单位地址和联系电话是什么？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确完整，信息与标准答案一致"
"SYSTEM","杭州市北京航空航天大学国际创新研究院的单位地址和联系电话是什么？",false,"contact","easy","finance_kb","ANSWER",0.0,0.0,0.0,0.0,3,3,4,false,true,"generation","地址正确，电话答非所问且编造"
"BASELINE_A","团体辅导中‘我的资源盾牌’环节要求参与者在盾牌上记录哪8个问题的答案？",false,"procedure","medium","psy_safety_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","应答但未回答，检索失败"
"BASELINE_B","团体辅导中‘我的资源盾牌’环节要求参与者在盾牌上记录哪8个问题的答案？",false,"procedure","medium","psy_safety_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关资源"
"SYSTEM","团体辅导中‘我的资源盾牌’环节要求参与者在盾牌上记录哪8个问题的答案？",false,"procedure","medium","psy_safety_kb","ANSWER",1.0,1.0,1.0,0.25,1,5,3,false,false,"retrieval","检索缺失关键信息，应答错误拒答"
"BASELINE_A","在‘自画像’活动中，如果学生表示‘我画画很差’不愿参与，带领者应如何回应？",false,"procedure","easy","psy_safety_kb","ANSWER",0.0,0.0,0.0,0.0,4,3,5,true,true,"generation","回应合理但偏离标准答案，存在编造"
"BASELINE_B","在‘自画像’活动中，如果学生表示‘我画画很差’不愿参与，带领者应如何回应？",false,"procedure","easy","psy_safety_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关活动回应策略"
"SYSTEM","在‘自画像’活动中，如果学生表示‘我画画很差’不愿参与，带领者应如何回应？",false,"procedure","easy","psy_safety_kb","ANSWER",1.0,1.0,1.0,0.25,4,3,5,true,true,"generation","回应合理但添加了证据未提及的细节"
"BASELINE_A","‘我的资源盾牌’活动结束后，带领者强调这些资源的核心作用是什么？",false,"policy","medium","psy_safety_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","‘我的资源盾牌’活动结束后，带领者强调这些资源的核心作用是什么？",false,"policy","medium","psy_safety_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关活动内容"
"SYSTEM","‘我的资源盾牌’活动结束后，带领者强调这些资源的核心作用是什么？",false,"policy","medium","psy_safety_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","应答但无检索证据导致拒答"
"BASELINE_A","本科生办理肄业证需要提交哪些材料？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","应答但无检索证据，错误拒答"
"BASELINE_B","本科生办理肄业证需要提交哪些材料？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确完整，完全符合证据"
"SYSTEM","本科生办理肄业证需要提交哪些材料？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,2,3,4,false,true,"generation","回答错误且编造材料要求"
"BASELINE_A","国家建设高水平大学公派研究生项目回国手续办理需要多久？",false,"time","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","应答即办但错误拒答"
"BASELINE_B","国家建设高水平大学公派研究生项目回国手续办理需要多久？",false,"time","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,4,2,false,false,"retrieval","应答即办但错误声称无信息"
"SYSTEM","国家建设高水平大学公派研究生项目回国手续办理需要多久？",false,"time","easy","campus_life_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","应答即办却错误拒答"
"BASELINE_A","新生校园卡制作发放由哪个部门统筹？",false,"contact","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答错误且编造部门"
"BASELINE_B","新生校园卡制作发放由哪个部门统筹？",false,"contact","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确、忠于证据、紧扣问题"
"SYSTEM","新生校园卡制作发放由哪个部门统筹？",false,"contact","medium","campus_life_kb","ANSWER",1.0,0.3333333333333333,1.0,0.2,5,3,5,true,true,"generation","答案正确但流程细节属编造"
"BASELINE_A","马骏涛申请临时困难补助的理由中，提到其家庭面临哪些具体经济压力？",false,"eligibility","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","检索失败导致完全无法作答"
"BASELINE_B","马骏涛申请临时困难补助的理由中，提到其家庭面临哪些具体经济压力？",false,"eligibility","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","检索失败，未找到相关证据"
"SYSTEM","马骏涛申请临时困难补助的理由中，提到其家庭面临哪些具体经济压力？",false,"eligibility","medium","affairs_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,4,4,5,true,true,"generation","回答基本正确但编造了7000元月费和父亲肝癌细节"
"BASELINE_A","学校同意给予马骏涛临时困难补助的依据是什么管理办法的哪一条款？",false,"policy","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","检索失败导致无法作答"
"BASELINE_B","学校同意给予马骏涛临时困难补助的依据是什么管理办法的哪一条款？",false,"policy","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关管理办法"
"SYSTEM","学校同意给予马骏涛临时困难补助的依据是什么管理办法的哪一条款？",false,"policy","easy","affairs_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,2,1,4,false,true,"generation","编造管理办法名称、文号及具体条款内容"
"BASELINE_A","根据核查情况，马骏涛的家庭困难是否符合临时困难补助的申请条件？为什么？",false,"eligibility","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","根据核查情况，马骏涛的家庭困难是否符合临时困难补助的申请条件？为什么？",false,"eligibility","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关证据"
"SYSTEM","根据核查情况，马骏涛的家庭困难是否符合临时困难补助的申请条件？为什么？",false,"eligibility","medium","affairs_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,3,2,5,false,true,"generation","回答错误编造父亲患肝癌、评分7分等证据未支持内容"
"BASELINE_A","中法航空研究院的纪委文件由哪个部门负责印制？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","应答错误，标准答案明确为纪委"
"BASELINE_B","中法航空研究院的纪委文件由哪个部门负责印制？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索失败，未找到相关纪委文件信息"
"SYSTEM","中法航空研究院的纪委文件由哪个部门负责印制？",false,"procedure","easy","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,4,3,false,true,"generation","回答错误且编造推测信息"
"BASELINE_A","哪些类型的公文函头纸是由党政办公室印制的？",false,"procedure","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,2,false,true,"generation","回答完全偏离标准答案且无证据支持"
"BASELINE_B","哪些类型的公文函头纸是由党政办公室印制的？",false,"procedure","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","检索失败，证据中无相关公文信息"
"SYSTEM","哪些类型的公文函头纸是由党政办公室印制的？",false,"procedure","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","未检索到标准答案对应证据"
"BASELINE_A","中法航空研究院的公文函头纸共分为几类？每类是否区分对内对外？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答但未检索到证据"
"BASELINE_B","中法航空研究院的公文函头纸共分为几类？每类是否区分对内对外？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关证据"
"SYSTEM","中法航空研究院的公文函头纸共分为几类？每类是否区分对内对外？",false,"policy","medium","affairs_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何有效信息"
"BASELINE_A","自动化科学与电气工程学院开设的新生研讨课中，哪门课的学分是1.5？",false,"procedure","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答错误且虚构课程信息"
"BASELINE_B","自动化科学与电气工程学院开设的新生研讨课中，哪门课的学分是1.5？",false,"procedure","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,4,false,true,"generation","回答错误，标准答案课程确在手册中"
"SYSTEM","自动化科学与电气工程学院开设的新生研讨课中，哪门课的学分是1.5？",false,"procedure","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,3,false,true,"generation","回答编造课程，证据中无该课信息"
"BASELINE_A","课程编号为B2F030220的新生研讨课中文名称是什么？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答错误且编造课程名称"
"BASELINE_B","课程编号为B2F030220的新生研讨课中文名称是什么？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","检索失败，未找到课程编号对应信息"
"SYSTEM","课程编号为B2F030220的新生研讨课中文名称是什么？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答错误，未找到但实际存在"
"BASELINE_A","‘云制造与工业4.0’这门新生研讨课的课程编号是多少？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","应答但未检索到课程编号"
"BASELINE_B","‘云制造与工业4.0’这门新生研讨课的课程编号是多少？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","应答错误，未检索到课程编号"
"SYSTEM","‘云制造与工业4.0’这门新生研讨课的课程编号是多少？",false,"material","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","应答错误，未检索到课程编号"
"BASELINE_A","哪些学院开设了名为‘创新创业基础’的课程？",false,"eligibility","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","哪些学院开设了名为‘创新创业基础’的课程？",false,"eligibility","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,2,3,false,true,"generation","回答错误且虚构课程信息"
"SYSTEM","哪些学院开设了名为‘创新创业基础’的课程？",false,"eligibility","easy","academic_kb","ANSWER",1.0,0.3333333333333333,1.0,0.16666666666666666,2,1,4,false,true,"generation","编造课程代码和教师，证据中无‘创新创业基础’课程"
"BASELINE_A","‘工作室定制课 (2)’这门课在新媒体艺术与设计学院由几位教师授课？分别是谁？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"fallback","应答但错误兜底，未尝试作答"
"BASELINE_B","‘工作室定制课 (2)’这门课在新媒体艺术与设计学院由几位教师授课？分别是谁？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","检索未覆盖教师信息，应召回师资数据"
"SYSTEM","‘工作室定制课 (2)’这门课在新媒体艺术与设计学院由几位教师授课？分别是谁？",false,"procedure","medium","academic_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全正确且忠于证据"
"BASELINE_A","编号为B2F560110的课程名称是什么？属于哪类通识课程？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","应答但未检索到证据导致拒答"
"BASELINE_B","编号为B2F560110的课程名称是什么？属于哪类通识课程？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应答有答案却错误判定无结果"
"SYSTEM","编号为B2F560110的课程名称是什么？属于哪类通识课程？",false,"material","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,2,2,4,false,true,"generation","课程编号错误，答案与证据不符"
"BASELINE_A","为什么代表团护照上的出境时间是5月21日，但实际出境时间是5月22日？",false,"procedure","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","检索失败导致无法回答"
"BASELINE_B","为什么代表团护照上的出境时间是5月21日，但实际出境时间是5月22日？",false,"procedure","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关证据"
"SYSTEM","为什么代表团护照上的出境时间是5月21日，但实际出境时间是5月22日？",false,"procedure","medium","external_kb","ANSWER",1.0,1.0,1.0,0.3333333333333333,5,5,5,true,false,"none","回答准确、忠于证据、直接切题"
"BASELINE_A","0点至2点出发的航班，对护照出境时间记录有什么特殊影响？",false,"policy","easy","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但无检索证据，错误拒答"
"BASELINE_B","0点至2点出发的航班，对护照出境时间记录有什么特殊影响？",false,"policy","easy","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何有效信息"
"SYSTEM","0点至2点出发的航班，对护照出境时间记录有什么特殊影响？",false,"policy","easy","external_kb","ANSWER",1.0,1.0,1.0,0.5,5,5,5,true,false,"none","回答准确、忠于证据、直接切题"
"BASELINE_A","对于0点至2点出发的航班，单位需要额外提交什么材料？",false,"procedure","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","检索失败导致无法作答"
"BASELINE_B","对于0点至2点出发的航班，单位需要额外提交什么材料？",false,"procedure","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关材料要求"
"SYSTEM","对于0点至2点出发的航班，单位需要额外提交什么材料？",false,"procedure","medium","external_kb","ANSWER",1.0,1.0,1.0,0.3333333333333333,5,5,5,true,false,"none","回答完全符合标准答案和证据"
"BASELINE_A","北航2025级新生研讨课中，由材料科学与工程学院开设的课程是哪一门？",false,"course","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"fallback","应答但未作答，错误兜底"
"BASELINE_B","北航2025级新生研讨课中，由材料科学与工程学院开设的课程是哪一门？",false,"course","easy","academic_kb","ANSWER",0.0,0.0,0.0,0.0,2,1,3,false,true,"generation","回答编造课程名称和代码"
"SYSTEM","北航2025级新生研讨课中，由材料科学与工程学院开设的课程是哪一门？",false,"course","easy","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,5,5,true,false,"none","回答准确、忠实证据、直接切题"
"BASELINE_A","‘太空千里眼--空天遥感成像及其信息处理’这门新生研讨课的课程代码和新课程代码分别是什么？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败导致未作答"
"BASELINE_B","‘太空千里眼--空天遥感成像及其信息处理’这门新生研讨课的课程代码和新课程代码分别是什么？",false,"procedure","medium","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到课程代码信息"
"SYSTEM","‘太空千里眼--空天遥感成像及其信息处理’这门新生研讨课的课程代码和新课程代码分别是什么？",false,"procedure","medium","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,5,2,5,true,true,"generation","答案正确但证据未支持，存在幻觉"
"BASELINE_A","电子信息工程学院开设的新生研讨课中，哪些课程的学分是1、学时是16？",false,"eligibility","hard","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","检索失败导致完全未作答"
"BASELINE_B","电子信息工程学院开设的新生研讨课中，哪些课程的学分是1、学时是16？",false,"eligibility","hard","academic_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,3,false,true,"generation","回答严重错误，漏答全部14门课且虚构课程"
"SYSTEM","电子信息工程学院开设的新生研讨课中，哪些课程的学分是1、学时是16？",false,"eligibility","hard","academic_kb","ANSWER",1.0,1.0,1.0,0.16666666666666666,3,2,5,false,true,"generation","回答编造课程信息，证据仅列1门课"
"BASELINE_A","本科生中英文成绩单翻译申请，哪些年级的学生必须通过线上系统申请，哪些可以自助打印？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,4,false,true,"generation","回答与标准答案完全相反且无证据支持"
"BASELINE_B","本科生中英文成绩单翻译申请，哪些年级的学生必须通过线上系统申请，哪些可以自助打印？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答完全符合标准答案和证据"
"SYSTEM","本科生中英文成绩单翻译申请，哪些年级的学生必须通过线上系统申请，哪些可以自助打印？",false,"procedure","medium","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未找到相关答案"
"BASELINE_A","申请中英文成绩或证书翻译是否收费？办理形式是什么？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,5,false,true,"generation","编造线上+线下流程，证据缺失"
"BASELINE_B","申请中英文成绩或证书翻译是否收费？办理形式是什么？",false,"policy","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确、忠于证据、完全相关"
"SYSTEM","申请中英文成绩或证书翻译是否收费？办理形式是什么？",false,"policy","easy","campus_life_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,2,false,false,"retrieval","应答但无依据，错误拒答"
"BASELINE_A","提交证书翻译申请时，对上传扫描件的分辨率有什么要求？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,2,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","提交证书翻译申请时，对上传扫描件的分辨率有什么要求？",false,"procedure","easy","campus_life_kb","ANSWER",0.0,0.0,0.0,0.0,5,5,5,true,false,"none","回答准确且忠于证据"
"SYSTEM","提交证书翻译申请时，对上传扫描件的分辨率有什么要求？",false,"procedure","easy","campus_life_kb","NO_ANSWER",0.0,0.0,0.0,0.0,1,3,3,false,false,"retrieval","应答错误，标准答案明确存在"
"BASELINE_A","办理因公赴港澳通行证需要提交几张照片？分别怎么提交？",false,"procedure","easy","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,1,1,false,false,"retrieval","应答但未检索到证据，错误拒答"
"BASELINE_B","办理因公赴港澳通行证需要提交几张照片？分别怎么提交？",false,"procedure","easy","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,3,1,false,false,"retrieval","检索失败，未返回有效答案"
"SYSTEM","办理因公赴港澳通行证需要提交几张照片？分别怎么提交？",false,"procedure","easy","external_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,4,3,5,true,true,"generation","照片数量正确，但提交位置和细节属编造"
"BASELINE_A","因公赴港澳通行证证件照对背景色、拍摄时限和尺寸有何要求？",false,"material","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,3,1,5,false,true,"generation","拍摄时限错误，且无证据支持"
"BASELINE_B","因公赴港澳通行证证件照对背景色、拍摄时限和尺寸有何要求？",false,"material","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,1,false,false,"retrieval","检索失败，未返回任何有效信息"
"SYSTEM","因公赴港澳通行证证件照对背景色、拍摄时限和尺寸有何要求？",false,"material","medium","external_kb","ANSWER",1.0,0.5,1.0,0.16666666666666666,5,5,5,true,false,"none","回答完全符合标准答案和证据"
"BASELINE_A","佩戴眼镜的人拍因公赴港澳通行证照片时有哪些特别规定？",false,"policy","medium","external_kb","ANSWER",0.0,0.0,0.0,0.0,1,5,3,false,false,"retrieval","应有答案但系统未检索到"
